Starting up http-server, serving .

http-server version: 14.1.1

http-server settings: 
CORS: disabled
Cache: 3600 seconds
Connection Timeout: 120 seconds
Directory Listings: visible
AutoIndex: visible
Serve GZIP Files: false
Serve Brotli Files: false
Default File Extension: none

Available on:
  http://10.0.0.2:8005
  http://127.0.0.1:8005
  http://172.25.176.1:8005
  http://172.26.112.1:8005
Hit CTRL-C to stop the server

[2025-12-19T14:03:41.835Z]  "HEAD /presenter/design-approval.html" "curl/8.9.1"
[2025-12-19T14:03:47.572Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2025-12-19T14:04:13.361Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
[2025-12-19T14:10:41.894Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2025-12-19T14:10:42.560Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2025-12-19T14:21:53.947Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
[2025-12-19T14:23:46.867Z]  "HEAD /presenter/design-approval.html" "curl/8.9.1"
[2025-12-19T14:23:50.378Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2025-12-19T14:23:50.630Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2025-12-19T14:23:51.047Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2025-12-19T14:35:19.671Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
[2025-12-19T14:35:21.087Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
[2025-12-19T14:35:21.308Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
[2025-12-19T14:35:21.486Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
[2025-12-19T14:36:19.154Z]  "HEAD /presenter/design-approval.html" "curl/8.9.1"
[2025-12-19T14:36:21.958Z]  "HEAD /presenter/design-approval.html" "curl/8.9.1"
[2025-12-19T14:36:38.807Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
[2025-12-19T14:36:39.872Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
[2025-12-19T14:36:40.124Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
[2025-12-19T15:24:35.193Z]  "HEAD /presenter/design-approval.html" "curl/8.9.1"
[2025-12-19T15:27:14.168Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
[2025-12-19T15:30:31.974Z]  "HEAD /presenter/design-approval.html" "curl/8.9.1"
[2025-12-19T15:30:32.075Z]  "GET /presenter/design-approval.html" "curl/8.9.1"
[2025-12-19T15:30:35.427Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2025-12-19T15:31:00.410Z]  "HEAD /presenter/design-approval.html" "curl/8.9.1"
[2025-12-19T15:31:15.715Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
[2025-12-19T15:32:24.160Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2025-12-19T15:32:58.502Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2025-12-19T15:33:31.145Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2025-12-19T15:34:13.698Z]  "GET /presenter/design-approval.html" "curl/8.9.1"
[2025-12-19T15:36:42.618Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2025-12-19T15:36:46.677Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2025-12-19T15:36:47.293Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2025-12-19T15:36:56.810Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2025-12-19T15:58:10.806Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
[2025-12-19T16:01:23.954Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
[2025-12-19T16:06:41.753Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
[2025-12-19T16:06:41.869Z]  "GET /favicon.ico" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
[2025-12-19T16:06:41.870Z]  "GET /favicon.ico" Error (404): "Not found"
[2025-12-19T16:08:17.361Z]  "GET /approvals/audit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
[2025-12-19T16:08:17.361Z]  "GET /approvals/audit" Error (404): "Not found"
[2025-12-19T16:08:18.970Z]  "GET /approvals/audit" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
[2025-12-19T16:08:18.971Z]  "GET /approvals/audit" Error (404): "Not found"
[2025-12-19T16:08:49.176Z]  "POST /approval" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
[2025-12-19T16:08:49.176Z]  "POST /approval" Error (404): "Not found"
[2025-12-19T16:08:54.470Z]  "POST /approval" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
[2025-12-19T16:08:54.470Z]  "POST /approval" Error (404): "Not found"
[2025-12-19T16:15:00.509Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2025-12-19T16:15:00.510Z]  "GET /presenter/design-approval.html" Error (404): "Not found"
[2025-12-19T16:15:14.019Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/143.0.7499.4 Safari/537.36"
[2025-12-19T16:15:14.019Z]  "GET /presenter/design-approval.html" Error (404): "Not found"
[2025-12-19T16:15:26.136Z]  "GET /presenter/design-approval.html" "curl/8.9.1"
[2025-12-19T16:15:26.136Z]  "GET /presenter/design-approval.html" Error (404): "Not found"
[2025-12-19T16:15:41.447Z]  "HEAD /presenter/design-approval.html" "curl/8.9.1"
[2025-12-19T16:15:41.447Z]  "HEAD /presenter/design-approval.html" Error (404): "Not found"
[2025-12-19T16:16:02.261Z]  "GET /presenter/design-approval.html" "Mozilla/5.0 (Windows NT 10.0; Microsoft Windows 10.0.22621; en-US) PowerShell/7.5.4"
[2025-12-19T16:16:02.262Z]  "GET /presenter/design-approval.html" Error (404): "Not found"
